Date,Close,Volume,Inflation,Unemployment,GDP_Growth_Rate,GDP,Interest_rate,CPI
19-03-2008,1298.420044,5358550000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
20-03-2008,1329.51001,6145220000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-03-2008,1349.880005,4499000000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
25-03-2008,1352.98999,4145120000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
26-03-2008,1341.130005,4055670000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
27-03-2008,1325.76001,4037930000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
28-03-2008,1315.219971,3686980000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
31-03-2008,1322.699951,4188990000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
1/4/2008,1370.180054,4745120000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/4/2008,1367.530029,4320440000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
3/4/2008,1369.310059,3920100000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
4/4/2008,1370.400024,3703100000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
7/4/2008,1372.540039,3747780000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
8/4/2008,1365.540039,3602500000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
9/4/2008,1354.48999,3556670000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
10/4/2008,1360.550049,3686150000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
11/4/2008,1332.829956,3723790000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
14-04-2008,1328.319946,3565020000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
15-04-2008,1334.430054,3581230000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
16-04-2008,1364.709961,4260370000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
17-04-2008,1365.560059,3713880000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
18-04-2008,1390.329956,4222380000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
21-04-2008,1388.170044,3420570000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
22-04-2008,1375.939941,3821900000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
23-04-2008,1379.930054,4103610000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-04-2008,1388.819946,4461660000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
25-04-2008,1397.839966,3891150000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
28-04-2008,1396.369995,3607000000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
29-04-2008,1390.939941,3815320000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
30-04-2008,1385.589966,4508890000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
1/5/2008,1409.339966,4448780000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/5/2008,1413.900024,3953030000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
5/5/2008,1407.48999,3410090000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
6/5/2008,1418.26001,3924100000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
7/5/2008,1392.569946,4075860000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
8/5/2008,1397.680054,3827550000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
9/5/2008,1388.280029,3518620000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
12/5/2008,1403.579956,3370630000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
13-05-2008,1403.040039,4018590000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
14-05-2008,1408.660034,3979370000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
15-05-2008,1423.569946,3836480000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
16-05-2008,1425.349976,3842590000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
19-05-2008,1426.630005,3683970000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
20-05-2008,1413.400024,3854320000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
21-05-2008,1390.709961,4517990000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
22-05-2008,1394.349976,3955960000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
23-05-2008,1375.930054,3516380000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
27-05-2008,1385.349976,3588860000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
28-05-2008,1390.839966,3927240000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
29-05-2008,1398.26001,3894440000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
30-05-2008,1400.380005,3845630000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/6/2008,1385.670044,3714320000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
3/6/2008,1377.650024,4396380000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
4/6/2008,1377.199951,4338640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
5/6/2008,1404.050049,4350790000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
6/6/2008,1360.680054,4771660000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
9/6/2008,1361.76001,4404570000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
10/6/2008,1358.439941,4635070000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
11/6/2008,1335.48999,4779980000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
12/6/2008,1339.869995,4734240000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
13-06-2008,1360.030029,4080420000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
16-06-2008,1360.140015,3706940000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
17-06-2008,1350.930054,3801960000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
18-06-2008,1337.810059,4573570000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
19-06-2008,1342.829956,4811670000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
20-06-2008,1317.930054,5324900000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
23-06-2008,1318,4186370000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-06-2008,1314.290039,4705050000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
25-06-2008,1321.969971,4825640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
26-06-2008,1283.150024,5231280000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
27-06-2008,1278.380005,6208260000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
30-06-2008,1280,5032330000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
1/7/2008,1284.910034,5846290000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/7/2008,1261.52002,5276090000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
3/7/2008,1262.900024,3247590000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
7/7/2008,1252.310059,5265420000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
8/7/2008,1273.699951,6034110000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
9/7/2008,1244.689941,5181000000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
10/7/2008,1253.390015,5840430000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
11/7/2008,1239.48999,6742200000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
14-07-2008,1228.300049,5434860000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
15-07-2008,1214.910034,7363640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
16-07-2008,1245.359985,6738630000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
17-07-2008,1260.319946,7365210000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
18-07-2008,1260.680054,5653280000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
21-07-2008,1260,4630640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
22-07-2008,1277,6180230000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
23-07-2008,1282.189941,6705830000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-07-2008,1252.540039,6127980000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
25-07-2008,1257.76001,4672560000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
28-07-2008,1234.369995,4282960000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
29-07-2008,1263.199951,5414240000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
30-07-2008,1284.26001,5631330000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
31-07-2008,1267.380005,5346050000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
1/8/2008,1260.310059,4684870000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
4/8/2008,1249.01001,4562280000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
5/8/2008,1284.880005,1219310000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
6/8/2008,1289.189941,4873420000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
7/8/2008,1266.069946,5319380000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
8/8/2008,1296.319946,4966810000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
11/8/2008,1305.319946,5067310000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
12/8/2008,1289.589966,4711290000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
13-08-2008,1285.829956,4787600000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
14-08-2008,1292.930054,4064000000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
